cluster,payer_type,horizon_years,gross_benefit,expected_drug_cost,intervention_cost,net_benefit,roi
1,post_generic,8,6770.73,3029.19,500.0,3241.55,1.0701
1,post_generic,9,7967.83,3327.6,500.0,4140.23,1.2442
1,post_generic,10,9219.56,3617.33,500.0,5102.24,1.4105
2,post_generic,1,920.03,1613.85,500.0,-1193.82,-0.7397
2,post_generic,2,2040.22,3059.79,500.0,-1519.58,-0.4966
2,post_generic,3,3353.52,4463.62,500.0,-1610.1,-0.3607
2,post_generic,4,4850.96,5826.55,500.0,-1475.59,-0.2533
2,post_generic,5,6522.06,7149.79,500.0,-1127.73,-0.1577
2,post_generic,6,8355.19,8434.49,500.0,-579.3,-0.0687
2,post_generic,7,10337.95,9681.77,500.0,156.18,0.0161
2,post_generic,8,12457.41,10892.72,500.0,1064.69,0.0977
2,post_generic,9,14700.36,12068.4,500.0,2131.96,0.1767
2,post_generic,10,17053.54,13209.84,500.0,3343.7,0.2531
3,post_generic,1,551.84,576.16,500.0,-524.31,-0.91
3,post_generic,2,1229.47,931.02,500.0,-201.55,-0.2165
3,post_generic,3,2028.64,1275.54,500.0,253.1,0.1984
3,post_generic,4,2943.71,1610.03,500.0,833.68,0.5178
3,post_generic,5,3967.92,1934.78,500.0,1533.14,0.7924
3,post_generic,6,5093.69,2250.06,500.0,2343.63,1.0416
3,post_generic,7,6312.93,2556.17,500.0,3256.76,1.2741
3,post_generic,8,7617.15,2853.36,500.0,4263.79,1.4943
3,post_generic,9,8997.72,3141.89,500.0,5355.83,1.7047
3,post_generic,10,10445.98,3422.02,500.0,6523.96,1.9065
